date,BTC,VIX,ETH,bitcoin,cryptocurrency,ethereum,crypto,btc,eth,crypto crash,bitcoin crash,buy bitcoin,sell bitcoin,crypto bull run,solana,altcoin,bitcoin price,crypto wallet
2018-01-02,14982.099609375,9.770000457763672,884.4439697265625,52,10,8,7,11,67,0,3,42,5,0,1,2,49,1
2018-01-03,15201.0,9.149999618530272,962.719970703125,54,12,8,9,12,70,1,3,52,7,0,1,3,46,1
2018-01-04,15599.2001953125,9.220000267028809,980.9219970703124,52,14,9,11,13,91,1,3,65,6,0,1,4,42,2
2018-01-05,17429.5,9.220000267028809,997.719970703125,50,13,8,10,12,81,1,3,51,7,0,1,4,41,2
2018-01-08,15170.099609375,9.520000457763672,1148.530029296875,49,12,11,10,11,88,2,3,42,6,0,1,3,42,1
2018-01-09,14595.400390625,10.079999923706056,1299.739990234375,47,12,10,10,11,86,1,3,38,5,0,1,3,38,1
2018-01-10,14973.2998046875,9.81999969482422,1255.8199462890625,50,11,12,10,10,100,2,4,39,6,0,1,3,38,1
2018-01-11,13405.7998046875,9.880000114440918,1154.9300537109375,55,12,10,10,11,82,3,5,36,6,0,2,2,44,1
2018-01-12,13980.599609375,10.15999984741211,1273.199951171875,45,9,8,8,10,74,1,2,33,5,0,1,2,38,1
2018-01-16,11490.5,11.65999984741211,1053.68994140625,73,16,10,13,12,81,19,21,33,7,0,1,2,63,1
2018-01-17,11188.599609375,11.90999984741211,1014.25,100,15,11,11,16,81,14,29,44,8,0,1,2,100,1
2018-01-18,11474.900390625,12.220000267028809,1036.280029296875,70,10,8,8,12,69,2,10,32,5,0,1,2,73,1
2018-01-19,11607.400390625,11.270000457763672,1039.0999755859375,49,7,6,7,9,62,2,6,27,4,0,1,2,47,1
2018-01-22,10931.400390625,11.029999732971191,1003.260009765625,42,7,5,6,8,55,2,4,20,4,0,1,1,40,0
2018-01-23,10868.400390625,11.100000381469728,986.22900390625,43,6,5,6,8,51,1,4,20,4,0,1,1,41,0
2018-01-24,11359.400390625,11.470000267028809,1058.780029296875,41,6,5,6,8,52,1,3,21,3,0,1,1,38,0
2018-01-25,11259.400390625,11.579999923706056,1056.030029296875,38,6,4,6,7,51,1,2,20,3,0,1,1,33,0
2018-01-26,11171.400390625,11.079999923706056,1055.1700439453125,39,6,4,6,7,48,1,2,20,4,0,1,1,31,0
2018-01-29,11296.400390625,13.84000015258789,1182.3599853515625,32,5,5,5,6,53,1,2,15,2,0,1,1,28,0
2018-01-30,10106.2998046875,14.789999961853027,1071.1300048828125,36,6,4,6,6,54,2,3,18,3,0,1,1,32,0
2018-01-31,10221.099609375,13.539999961853027,1118.31005859375,37,6,4,5,7,51,1,3,17,3,0,1,1,36,0
2018-02-01,9170.5400390625,13.470000267028809,1036.7900390625,48,7,5,6,8,63,3,9,19,4,0,1,1,44,0
2018-02-02,8830.75,17.309999465942383,915.7849731445312,66,9,6,7,11,59,9,17,23,4,0,1,1,67,0
2018-02-05,6955.27001953125,37.31999969482422,697.9509887695312,63,8,5,7,12,61,6,15,21,5,0,1,1,69,0
2018-02-06,7754.0,29.979999542236328,793.1220092773438,80,9,6,7,13,56,6,21,26,5,0,1,1,92,0
2018-02-07,7621.2998046875,27.729999542236328,757.0679931640625,48,6,4,5,9,45,1,5,20,3,0,1,1,59,0
2018-02-08,8265.58984375,33.459999084472656,817.8070068359375,42,5,3,4,8,43,0,4,17,3,0,1,1,47,0
2018-02-09,8736.98046875,29.059999465942383,883.864990234375,37,4,3,4,7,39,0,3,14,3,0,1,1,40,0
2018-02-12,8926.5703125,25.61000061035156,868.7069702148438,31,4,3,3,6,39,0,2,16,3,0,1,1,30,0
2018-02-13,8598.3095703125,24.969999313354492,845.2579956054688,29,3,3,3,6,36,0,2,12,2,0,1,1,27,0
2018-02-14,9494.6298828125,19.260000228881836,923.5609741210938,28,4,3,4,6,37,0,1,12,2,0,1,1,25,0
2018-02-15,10166.400390625,19.1299991607666,936.9760131835938,31,4,3,4,6,38,0,1,13,3,0,1,1,27,0
2018-02-16,10233.900390625,19.459999084472656,944.2100219726562,27,3,3,3,6,37,0,1,12,2,0,1,1,26,0
2018-02-20,11403.7001953125,20.600000381469727,895.3709716796875,28,4,3,3,6,44,0,1,12,2,0,1,1,26,0
2018-02-21,10690.400390625,20.020000457763672,849.9710083007812,28,4,3,4,5,41,1,2,12,2,0,1,1,25,0
2018-02-22,10005.0,18.719999313354492,812.844970703125,27,4,2,3,5,38,1,1,11,2,0,1,1,23,0
2018-02-23,10301.099609375,16.489999771118164,864.1890258789062,23,3,2,3,5,35,0,1,10,1,0,1,1,21,0
2018-02-26,10366.7001953125,15.800000190734863,869.3150024414062,21,3,2,3,5,36,0,1,10,2,0,1,1,19,0
2018-02-27,10725.599609375,18.59000015258789,878.2650146484375,21,2,2,3,5,37,0,1,10,2,0,1,1,19,0
2018-02-28,10397.900390625,19.850000381469727,855.198974609375,21,3,2,3,4,34,0,1,8,2,0,1,1,17,0
2018-03-01,10951.0,22.469999313354492,872.2000122070312,18,3,2,3,4,34,0,1,9,2,0,1,1,17,0
2018-03-02,11086.400390625,19.59000015258789,856.85302734375,20,2,2,3,4,34,0,1,9,1,0,1,0,17,0
2018-03-05,11573.2998046875,18.729999542236328,853.6840209960938,19,2,2,3,4,35,0,1,9,2,0,1,1,16,0
2018-03-06,10779.900390625,18.36000061035156,816.9509887695312,19,2,2,3,4,37,0,1,8,2,0,1,1,16,0
2018-03-07,9965.5703125,17.760000228881836,752.8309936523438,21,3,2,3,4,35,1,2,9,2,0,1,1,19,0
2018-03-08,9395.009765625,16.540000915527344,704.5960083007812,21,3,2,3,4,33,1,2,9,2,0,1,1,19,0
2018-03-09,9337.5498046875,14.640000343322754,728.916015625,23,3,2,3,5,35,2,3,10,2,0,1,1,22,0
2018-03-12,9205.1201171875,15.779999732971191,699.8309936523438,19,3,2,3,4,31,0,1,9,2,0,1,1,18,0
2018-03-13,9194.849609375,16.350000381469727,690.8270263671875,18,2,2,2,3,30,0,1,9,1,0,1,0,16,0
2018-03-14,8269.8095703125,17.229999542236328,614.291015625,21,3,2,3,4,33,1,2,8,2,0,1,0,19,0
2018-03-15,8300.8603515625,16.59000015258789,611.3040161132812,24,3,2,3,4,34,2,2,9,2,0,1,1,24,0
2018-03-16,8338.349609375,15.800000190734863,601.666015625,19,2,2,2,4,28,0,1,7,2,0,1,0,19,0
2018-03-19,8630.650390625,19.020000457763672,556.7260131835938,20,3,2,3,4,34,0,1,8,2,0,1,0,21,0
2018-03-20,8913.4697265625,18.200000762939453,557.1749877929688,20,2,2,2,4,31,0,1,8,1,0,1,0,18,0
2018-03-21,8929.2802734375,17.860000610351562,561.7319946289062,18,2,2,2,5,30,0,1,8,1,0,1,0,18,0
2018-03-22,8728.4697265625,23.34000015258789,539.7020263671875,18,2,2,2,3,28,0,1,8,1,0,1,0,17,0
2018-03-23,8879.6201171875,24.8700008392334,539.6190185546875,17,2,2,2,3,26,0,1,7,1,0,1,0,16,0
2018-03-26,8209.400390625,21.030000686645508,489.9509887695313,20,2,2,2,3,29,0,1,7,2,0,1,0,16,0
2018-03-27,7833.0400390625,22.5,450.1159973144531,18,2,2,2,3,31,1,1,8,2,0,1,0,16,0
2018-03-28,7954.47998046875,22.8700008392334,446.2789916992187,16,2,2,2,3,29,0,1,7,1,0,1,0,16,0
2018-03-29,7165.7001953125,19.969999313354492,385.9679870605469,21,3,3,3,4,34,1,3,8,2,0,1,0,19,0
2018-04-02,7083.7998046875,23.6200008392334,386.4249877929687,19,2,2,2,4,24,0,1,8,1,0,1,0,20,0
2018-04-03,7456.10986328125,21.100000381469727,416.89300537109375,18,2,2,2,4,28,0,1,7,1,0,1,0,18,0
2018-04-04,6853.83984375,20.059999465942383,380.5429992675781,17,2,2,2,3,28,0,1,6,1,0,1,0,17,0
2018-04-05,6811.47021484375,18.940000534057617,383.23199462890625,18,3,2,2,3,27,0,1,7,1,0,1,0,19,0
2018-04-06,6636.31982421875,21.489999771118164,370.2850036621094,19,2,2,2,3,24,0,1,8,2,0,1,0,19,0
2018-04-09,6770.72998046875,21.770000457763672,398.5260009765625,17,2,2,2,3,26,0,1,7,1,0,1,0,17,0
2018-04-10,6834.759765625,20.469999313354492,414.2430114746094,16,2,2,2,3,26,0,1,6,1,0,1,0,15,0
2018-04-11,6968.31982421875,20.239999771118164,430.5400085449219,15,2,1,2,3,25,0,1,6,1,0,1,0,14,0
2018-04-12,7889.25,18.489999771118164,492.9410095214844,18,2,2,2,4,28,0,0,6,1,0,1,0,17,0
2018-04-13,7895.9599609375,17.40999984741211,492.7349853515625,19,2,2,3,4,30,0,1,7,1,0,1,1,18,0
2018-04-16,8058.669921875,16.559999465942383,511.1470031738281,15,2,1,2,3,23,0,0,7,1,0,1,0,14,0
2018-04-17,7902.08984375,15.25,502.8940124511719,15,2,2,2,3,24,0,0,6,1,0,1,0,13,0
2018-04-18,8163.419921875,15.600000381469728,524.7890014648438,15,2,1,2,3,24,1,0,6,1,0,1,0,14,0
2018-04-19,8294.3095703125,15.960000038146973,567.8889770507812,15,2,2,3,3,29,0,0,7,2,0,1,1,13,0
2018-04-20,8845.830078125,16.8799991607666,615.718017578125,16,2,2,2,3,28,0,0,7,1,0,1,1,13,0
2018-04-23,8930.8798828125,16.34000015258789,642.5479736328125,15,2,2,2,3,29,0,0,7,2,0,1,0,14,0
2018-04-24,9697.5,18.020000457763672,708.1580200195312,18,2,2,3,4,35,0,1,8,2,0,1,1,16,0
2018-04-25,8845.740234375,17.84000015258789,615.416015625,16,2,2,3,4,31,0,0,7,2,0,1,1,15,0
2018-04-26,9281.509765625,16.239999771118164,662.8090209960938,14,2,2,2,3,27,0,0,7,1,0,1,0,12,0
2018-04-27,8987.0498046875,15.40999984741211,647.031982421875,14,2,2,2,4,27,0,0,6,1,0,1,0,12,0
