date,bitcoin,cryptocurrency,ethereum,crypto,btc,eth,crypto crash,bitcoin crash,buy bitcoin,sell bitcoin,crypto bull run,solana,altcoin,bitcoin price,crypto wallet
2018-01-01,46,8,4,6,9,46,0,2,34,4,0,1,2,39,1
2018-01-02,53,10,8,8,12,69,0,3,42,6,0,1,2,48,1
2018-01-03,53,12,8,10,12,73,1,3,51,7,0,1,3,46,1
2018-01-04,52,14,9,11,13,92,1,3,55,6,0,1,3,41,2
2018-01-05,48,13,8,11,13,82,1,3,51,7,0,1,4,40,2
2018-01-06,46,12,7,10,12,74,1,2,46,7,0,1,3,34,1
2018-01-07,44,11,9,10,11,72,1,3,47,6,0,1,3,32,2
2018-01-08,51,12,11,10,12,89,2,3,42,6,0,1,3,41,1
2018-01-09,49,11,11,10,11,87,1,3,37,5,0,1,3,40,1
2018-01-10,51,12,13,10,11,100,2,4,40,6,0,1,3,39,1
2018-01-11,56,12,10,10,11,81,3,5,35,6,0,2,2,47,1
2018-01-12,46,9,8,8,10,76,1,2,32,4,0,1,2,37,1
2018-01-13,41,9,8,8,9,76,1,2,33,5,0,1,2,28,1
2018-01-14,38,8,8,8,8,72,1,3,30,4,0,1,2,26,1
2018-01-15,39,8,7,7,8,65,1,2,27,4,0,1,2,26,1
2018-01-16,71,15,10,13,12,78,19,21,33,7,0,1,2,64,1
2018-01-17,100,15,11,12,16,80,14,29,44,8,0,1,2,100,1
2018-01-18,79,10,8,8,13,68,2,9,33,5,0,1,2,71,1
2018-01-19,50,8,6,6,9,59,1,6,27,4,0,1,2,51,1
2018-01-20,43,7,5,6,9,62,1,4,27,4,0,1,2,37,1
2018-01-21,39,7,5,6,8,52,1,4,23,4,0,1,1,33,1
2018-01-22,45,7,6,6,8,54,2,4,20,4,0,1,1,40,0
2018-01-23,45,6,5,6,8,51,1,4,20,4,0,1,1,41,0
2018-01-24,41,6,5,7,8,51,0,3,21,4,0,1,1,38,0
2018-01-25,38,5,4,6,7,51,0,2,20,3,0,1,1,34,0
2018-01-26,39,6,4,6,7,47,1,2,20,4,0,1,1,32,0
2018-01-27,32,6,3,5,7,43,0,1,18,3,0,1,1,26,1
2018-01-28,31,5,5,5,6,53,0,2,20,3,0,1,1,24,0
2018-01-29,33,5,5,5,6,54,1,2,16,3,0,1,1,27,0
2018-01-30,35,6,5,6,7,52,2,3,18,3,0,1,1,31,0
2018-01-31,39,6,4,5,7,51,1,3,17,3,0,1,1,36,0
